,id,explanation_method,comprehensiveness,sufficiency,prob
0,1913,attention,0.0884813517332077,0.20033828715483348,0.9940606951713562
1,4550,attention,-0.12498067621709197,-0.09357615403132513,0.0026435537729412317
2,4424,attention,0.09283791281081535,0.05388755170074669,0.9993114471435547
3,3802,attention,0.49324935860931873,0.06181140536708491,0.9990894794464111
4,3867,attention,0.10430022648402623,0.23872614162308828,0.939868152141571
5,2557,attention,0.24479811156497283,0.2552346727427314,0.94000244140625
6,2097,attention,0.15245658834025544,0.05979795388455661,0.9991582632064819
7,3546,attention,0.41604696075583614,-0.09514104557591815,0.6169075965881348
8,2808,attention,0.11396234953089764,0.11688033805081718,0.9994128942489624
9,893,attention,0.1722569917723284,0.3198190361766492,0.9792831540107727
10,674,attention,0.349089499224316,0.12217833372679623,0.9992257356643677
11,4329,attention,0.5773722630665573,0.0708518527274908,0.9972947239875793
12,518,attention,0.3034807959707772,0.1624073186298696,0.9962371587753296
13,3071,attention,0.19082721509039402,0.137400383874774,0.9986370205879211
14,1449,attention,0.10845098844388636,0.17165476992362882,0.9880275726318359
15,2475,attention,0.355280871624532,0.05633322894573212,0.9992716908454895
16,2224,attention,0.4599375260993838,0.047575301676988604,0.9987493753433228
17,3008,attention,0.5747100007922753,0.07941657563914424,0.9971387386322021
18,2799,attention,0.3121125803839776,0.08593318347007997,0.9990039467811584
19,3455,attention,0.39421350465101357,0.26665615246576424,0.9336522817611694
20,2715,attention,0.2614877466545549,0.14815502041994139,0.9993176460266113
21,1799,attention,0.41915134751261807,0.05422408611346514,0.9989339709281921
22,1476,attention,0.09138085953891277,0.1133579857647419,0.9983426332473755
23,3045,attention,-0.12409200323255438,-0.03720264852439102,0.03766162693500519
24,191,attention,0.33131385282898435,0.07589853114011336,0.9994010925292969
25,1612,attention,0.37114081722359327,0.184549956300924,0.994823694229126
26,3501,attention,0.33097258980075517,0.07264815544088682,0.9978377223014832
27,2706,attention,0.046991695960362755,0.11784658994939592,0.9995693564414978
28,788,attention,0.18808874407330076,0.3268306921865489,0.9957150816917419
29,2721,attention,-0.16403386757398644,-0.07968788671617706,0.0640377625823021
30,2543,attention,0.26458686993767816,0.122539224413534,0.9978628754615784
31,4425,attention,0.08582456316798925,0.13686504866927862,0.9849875569343567
32,4154,attention,0.14747333782725036,0.12536316877231002,0.9995231628417969
33,169,attention,0.4687500034059797,0.18166722846882685,0.9828258156776428
34,1657,attention,0.06459958309477026,0.17341785979541866,0.9993871450424194
35,3040,attention,0.062905958870001,0.16327846599252602,0.9993938207626343
36,269,attention,0.31556373834609985,0.0627028284276404,0.999180018901825
37,1775,attention,0.2570580677552657,0.18831607631661676,0.9988150596618652
38,3229,attention,0.5118798319371822,0.09152500072251195,0.9935006499290466
39,4496,attention,0.003090844072144607,-0.26251247730748406,0.3342333137989044
40,1064,attention,0.22265783714693646,0.19560975564080615,0.9945560693740845
41,4134,attention,0.346713372402721,0.17565940154923332,0.9898181557655334
42,4000,attention,0.11035990138207713,0.16222312854182336,0.9962179064750671
43,609,attention,-0.12633554658128154,-0.054943519092544364,0.011769838631153107
44,2710,attention,0.22664439504345257,0.313996022939682,0.9958511590957642
45,3460,attention,0.24553435256606654,0.11890615209152824,0.9968229532241821
46,1803,attention,0.6782618607987058,0.07415547858585012,0.9033440947532654
47,1918,attention,0.11839084357631449,0.20532455036834796,0.9983850717544556
48,3197,attention,0.03054289221763611,0.3258884955197573,0.7010975480079651
49,1737,attention,0.36389053612947464,0.11644149402325804,0.997461199760437
50,4435,attention,0.13803430906561917,0.220822105920592,0.923281192779541
51,3750,attention,0.10425430671735243,0.32306131517345255,0.9421367049217224
52,3966,attention,0.2335573363304138,0.4264032119512558,0.9899585843086243
53,365,attention,0.2141082300696262,0.06403527772703836,0.998174786567688
54,4053,attention,0.11757331093152364,0.19801310316110268,0.9990399479866028
55,2066,attention,0.2255610175604044,0.0956258389145829,0.9994871616363525
56,1852,attention,0.12256447850046931,0.13607316967603322,0.9941151142120361
57,2703,attention,0.5505088170483599,0.1421567753833883,0.9895234704017639
58,487,attention,0.18841720308576312,0.34278966443879266,0.9830442070960999
59,4055,attention,0.10184463113546371,0.06711425570150216,0.9994490742683411
60,4475,attention,0.21016560724148384,0.14644715906335756,0.9919978976249695
61,3348,attention,0.35886936510602635,0.07978945846358936,0.9958131909370422
62,351,attention,0.43560901715567235,0.23555561311935125,0.9872593283653259
63,2509,attention,0.10428232435257204,0.15957821136520756,0.999016284942627
64,4030,attention,0.21198758983518928,0.27037596613445203,0.9968666434288025
65,1650,attention,0.11344828391852586,0.0985388065809789,0.999357283115387
66,2653,attention,0.06255684146341288,0.10539693821151301,0.999255359172821
67,4285,attention,0.31032823910936713,0.1839818493463099,0.9913411736488342
68,1468,attention,0.37193402647972107,0.10948232747614384,0.9902837872505188
69,2998,attention,0.22122571431100368,0.08212125934660434,0.9990971088409424
70,1270,attention,0.3970740323420614,0.1966773213353008,0.9700825214385986
71,297,attention,0.1492388186355432,0.2699420178929965,0.9916892051696777
72,2019,attention,0.04130684225647538,0.2210324981974231,0.9993290901184082
73,629,attention,0.17092868877995399,0.16718557308758458,0.9969925880432129
74,1944,attention,0.14060554334095546,0.09999331477142516,0.998633086681366
75,953,attention,0.10359672378552587,0.050367049872875214,0.9991455078125
76,466,attention,0.2749137105420232,0.19768132036551833,0.9924671053886414
77,2200,attention,0.018524693406146507,0.15266558625127957,0.4452812671661377
78,728,attention,0.19919248213144866,0.08434656804258173,0.9994852542877197
79,3376,attention,0.22898902783268377,0.1388808663999825,0.9961434602737427
80,4549,attention,0.2663440775386123,0.09320857843687368,0.9670119285583496
