,id,explanation_method,comprehensiveness,sufficiency,prob
0,1335,decompx,0.7140990733851198,0.016537216248785614,0.9994744658470154
1,2648,decompx,-0.0901894079379013,-0.9175824316011535,0.006183125078678131
2,2607,decompx,0.48122585136443374,0.029590801708400248,0.9996379613876343
3,2278,decompx,0.5995768148673148,0.016747912914632894,0.9997386336326599
4,795,decompx,0.8750682718514369,0.012177302945997113,0.9996064305305481
5,1998,decompx,0.5412465142266404,0.017823399915810553,0.9997969269752502
6,1276,decompx,0.03917513744465048,0.06563412543401678,0.9998481273651123
7,1363,decompx,0.8789465115809919,0.015322876681247955,0.9949693083763123
8,3468,decompx,0.6443804087338306,0.039739055401187835,0.9995437264442444
9,405,decompx,0.8011102556129773,-0.014114409070654014,0.9675195217132568
10,1723,decompx,0.344639189434903,0.0196877301803657,0.9998887777328491
11,218,decompx,0.6973440768224044,0.004476980119943619,0.9996702671051025
12,3676,decompx,0.04479950236182817,0.013111661332593838,0.9997876286506653
13,1059,decompx,0.42324832427065545,0.015226178870695392,0.9997288584709167
14,2082,decompx,-0.027374032116942823,-0.9695999864103085,0.011559565551578999
15,3840,decompx,0.06457590827575097,0.015417513302248767,0.9998824596405029
16,1581,decompx,0.6552122558156649,0.018407328348410756,0.9996851682662964
17,1774,decompx,0.05521865805068354,0.13944742758208373,0.9998008608818054
18,3400,decompx,0.6563515766250967,0.02505639526579115,0.9994584918022156
19,699,decompx,0.7141110593719142,0.0038635788169810144,0.9998039603233337
20,624,decompx,0.09775364338749587,0.024979117693323078,0.9998362064361572
21,32,decompx,0.8480288341347928,0.0023161323977188325,0.9998032450675964
22,636,decompx,0.6922435421668189,0.015624074167326876,0.9998422861099243
23,3224,decompx,0.8997775415542739,0.015004499335966167,0.999494194984436
24,1150,decompx,0.3439941545800557,0.032411451377565896,0.9996423721313477
25,2099,decompx,0.8189749810115311,0.0011728856936994805,0.9997946619987488
26,1964,decompx,0.7367159570537267,0.010037153767001244,0.9997246861457825
27,1235,decompx,0.7495536715455567,0.013762743031378272,0.9998136162757874
28,2226,decompx,0.6805045132310344,0.012763644181765043,0.9998142123222351
29,3331,decompx,0.20659760744223055,0.12424902477354374,0.9998586177825928
30,3365,decompx,0.6591984876259057,0.02012494178833785,0.9998410940170288
31,1014,decompx,0.8412130693309442,0.011445141982200533,0.9997594952583313
32,1558,decompx,0.42479114989654565,0.013572289297978083,0.9997543692588806
33,1367,decompx,0.28880647690887123,0.017705765544858754,0.9995456337928772
34,2004,decompx,0.2556322547607124,0.029219174291938543,0.999826967716217
35,882,decompx,0.37552448529369975,0.03914151447159903,0.9994816184043884
36,788,decompx,0.5187364318438508,0.008456147671524996,0.999783456325531
37,1516,decompx,0.353452958754803,0.03178195145569349,0.9969289898872375
38,1822,decompx,0.3664583255605,0.014466165987456717,0.9998121857643127
39,3327,decompx,0.7549463073992229,0.007928635537003478,0.9997977614402771
40,2489,decompx,0.8688287847846526,-0.04363912927067798,0.9537030458450317
41,169,decompx,0.6879441780851238,0.05157393666486892,0.9997101426124573
42,1641,decompx,0.8411417696475317,0.014690375753811427,0.999326229095459
43,1343,decompx,0.8151219711442274,0.010297051574810442,0.9997493624687195
44,2718,decompx,0.6385051729080424,0.008718766272068024,0.9997559189796448
45,3792,decompx,-0.018416889767555907,-0.8519482980351815,0.0003305514401290566
46,2472,decompx,0.7200334122613823,0.03505520949992098,0.9998364448547363
47,3163,decompx,0.7729740061449075,0.008606281246130283,0.9995980858802795
48,3749,decompx,0.769482176979336,0.006953439341401154,0.9998237490653992
49,3375,decompx,-0.0745422695681505,-0.9599873088292277,0.00025787140475586057
50,338,decompx,0.8933344371823291,0.008490116138176377,0.9998337030410767
51,747,decompx,0.9201765483279564,0.004411975921423904,0.9994957447052002
52,953,decompx,0.5037620041733809,0.021613376925317503,0.9998200535774231
53,2429,decompx,0.8539438848885152,0.020366603171969033,0.9941809773445129
54,3587,decompx,0.7856995846036032,0.012284285591348358,0.9997546076774597
55,1351,decompx,0.3568571848820334,0.011325413743927055,0.9998302459716797
56,498,decompx,-0.2862538632398355,-0.09615506376576377,0.0007340288138948381
57,3929,decompx,0.8864919757160048,0.0032609574722521233,0.9993844032287598
58,1378,decompx,0.4160123470486427,0.015595937413828713,0.9980853796005249
59,1949,decompx,0.006023154819712919,0.013228082376367906,0.9996716976165771
60,1218,decompx,0.27404187413506537,0.013308555262643585,0.9998120665550232
61,1768,decompx,0.9264472875595939,0.01423517871986736,0.9991210103034973
62,2499,decompx,0.6294499741078498,0.0294993284854803,0.9997099041938782
63,1603,decompx,0.8884961083720555,0.020128474570810795,0.9996613264083862
64,1990,decompx,0.8574153911910899,0.012846829990545908,0.9989315867424011
65,896,decompx,-0.02318829271232006,-0.6165108302208994,0.0026501845568418503
66,691,decompx,0.8431092214327341,0.010650128341065003,0.9964300990104675
67,3391,decompx,0.439257080482561,0.016095421324341982,0.9997380375862122
68,3371,decompx,0.8707554818715249,0.01690559683401892,0.9959932565689087
69,3780,decompx,0.8974851524087955,0.005230861452390563,0.9997738003730774
70,575,decompx,0.8095484873435149,0.05880840867757797,0.9965202808380127
71,168,decompx,0.44739056362406066,0.01263866630261359,0.9998168349266052
72,1015,decompx,0.9290516915852683,0.014162202267085805,0.9995531439781189
73,1318,decompx,0.4005162130162968,0.02583565920349059,0.9998443126678467
74,3455,decompx,0.2661717191509817,0.005153086336179711,0.9998249411582947
75,1269,decompx,0.8273827984767894,0.028491094581082337,0.9962246417999268
76,3330,decompx,0.8730669220175789,0.009865266985671466,0.9984390139579773
77,3417,decompx,0.44847222303517126,0.00980486802792435,0.9998836517333984
78,2355,decompx,-0.2738414598298409,-0.876210217934943,0.021993523463606834
79,3494,decompx,0.04720020525414368,0.061447034622060845,0.9997133612632751
80,2137,decompx,0.5044749179538691,0.030324985677341244,0.9990443587303162
81,470,decompx,0.8685995032708463,0.010853193990595929,0.9996298551559448
82,1349,decompx,0.6176177711867086,0.011496966632155629,0.9996297359466553
83,3579,decompx,0.6744565782302784,0.009798246489630805,0.9998148083686829
84,1313,decompx,0.767226171747307,0.008338580122667617,0.99970942735672
85,176,decompx,0.4491585053648185,0.01595145840089298,0.9998513460159302
86,2019,decompx,0.7154516440726095,0.029715020329721512,0.9998226761817932
87,3137,decompx,-0.07007999125984077,-0.9772060354801722,0.010434120893478394
88,3396,decompx,0.7617426238868805,0.023873061361447186,0.9996790885925293
89,2906,decompx,0.7354384336537785,0.009687233434783088,0.9991515874862671
90,2903,decompx,0.721004682361436,0.017810649818774917,0.9984052777290344
91,2980,decompx,0.5235354198320281,0.036652528636512305,0.9997377991676331
92,1186,decompx,0.5289289326815123,0.024784984883297695,0.9996064305305481
93,3128,decompx,0.7530531254243341,0.012952732700335829,0.9998149275779724
94,1812,decompx,-0.049578826786540506,-0.9956086752525011,0.0009208004921674728
95,2299,decompx,0.7953844753175274,0.014302645753694061,0.9997768998146057
96,1217,decompx,0.7479452801572318,0.025291910929273267,0.9996498823165894
97,2504,decompx,0.544702522456646,0.030791170540310088,0.9997215867042542
98,1333,decompx,0.8593770115428303,0.01130725061748086,0.9995160102844238
99,3288,decompx,0.10460187151706477,0.017611120566189718,0.9998295307159424
100,1328,decompx,0.5592195166991307,0.02237439384827247,0.9997408986091614
101,1533,decompx,0.8104611189628486,0.01732157327933237,0.9997230172157288
102,3735,decompx,0.7011804142157021,0.027288499409737793,0.9996453523635864
103,351,decompx,0.7579018985005942,0.16850034757093948,0.9990893602371216
104,468,decompx,0.7507728831059254,0.005098333697260162,0.9972577691078186
105,861,decompx,0.5693801852198792,0.009637715258434707,0.9998700618743896
106,3697,decompx,0.6583733636399974,0.03750015536080236,0.996025800704956
107,2812,decompx,0.9377339489195341,0.007461269997587108,0.9993738532066345
108,813,decompx,0.8034841788151036,0.013131708616302126,0.9996306896209717
109,1020,decompx,0.4848547364239926,0.009668564984014819,0.9998235106468201
110,2953,decompx,-0.08222088541619346,-0.9720669649541378,0.01863997057080269
111,2736,decompx,0.7330695688524541,0.01178428192445837,0.9997614026069641
112,1632,decompx,0.4992246852862596,0.00907049813079384,0.9997733235359192
113,128,decompx,0.571350899440909,0.013871429798503717,0.9997901320457458
114,905,decompx,0.38036850357397656,0.01931167546598638,0.9995518326759338
115,2880,decompx,0.6306201029368792,0.02117639644579454,0.9998576641082764
116,1617,decompx,0.6745004815542522,0.010625802966601709,0.9998694658279419
117,1475,decompx,0.6093054492264351,0.02771111450930859,0.9988760352134705
118,2946,decompx,0.2784433389032209,0.010987522634300025,0.999700665473938
119,3459,decompx,0.40938376856374215,0.022538117982529023,0.9995443224906921
120,202,decompx,0.9540898881623324,0.014248027042909102,0.9983264803886414
121,1007,decompx,0.8255406141405305,0.008684313694636027,0.999749481678009
122,1767,decompx,0.7164394858639529,0.0038747828507768936,0.9878785014152527
123,933,decompx,0.5131359187529442,0.022542512480248796,0.9997014403343201
124,3184,decompx,0.33537353884499027,0.07205224796286169,0.999363124370575
125,3198,decompx,0.6295084109991242,0.01874726067442413,0.999481737613678
126,2150,decompx,0.8747229463632472,0.009608124693234762,0.9997077584266663
127,1105,decompx,0.6634869708429983,0.031106773264629326,0.9995962977409363
128,1467,decompx,0.601087390887551,0.06058225855231285,0.9995670914649963
129,3600,decompx,0.0977734697746559,0.014349477706660688,0.9962010979652405
130,423,decompx,0.8485918535595156,0.02371136466382255,0.99951171875
131,778,decompx,0.5367213990430935,-0.160711238690687,0.646460771560669
132,2143,decompx,0.8038869664068679,0.007297815845223234,0.9997774958610535
133,1120,decompx,0.5398519660279252,0.010352197231030931,0.9998412132263184
134,2092,decompx,-0.020069593182783032,-0.9662636723640619,0.013345864601433277
135,2473,decompx,0.5393777018543452,0.008147774228624477,0.9998432397842407
136,2192,decompx,0.6822598270964451,0.01862240261756457,0.9998607635498047
137,3062,decompx,0.6941497010377896,0.018651437278716796,0.9998562335968018
138,2120,decompx,0.8950511520668197,0.0013338513408146851,0.9922025203704834
139,2132,decompx,0.7997537758114591,0.010766973314077957,0.9993594288825989
140,977,decompx,0.8218978241407614,0.02144473105025806,0.9997534155845642
141,3556,decompx,0.833845752871565,0.01525285294870051,0.9997064471244812
142,2624,decompx,0.37386476278305053,0.06101922422647476,0.9997014403343201
143,290,decompx,0.8848653661105277,0.01603642464527544,0.9988214373588562
144,2261,decompx,0.5003018522591784,0.021447061106216078,0.9997790455818176
145,2097,decompx,0.6307366943918169,0.009048235203538622,0.9998067021369934
146,2676,decompx,0.4499375062348606,0.024674331953933648,0.9997807145118713
147,191,decompx,0.5058376318351789,0.04043440232900056,0.9991975426673889
148,410,decompx,0.8498328878251356,0.017956366882689537,0.9997584223747253
149,2678,decompx,0.6796807744083744,0.020000033957116744,0.9998190999031067
150,2160,decompx,0.9153961053219973,-0.02839957515398661,0.966497540473938
151,2432,decompx,0.9463636943425765,-0.00488198535008864,0.9895293116569519
152,2437,decompx,0.6862042538064012,0.013305340614696006,0.9998477697372437
