,id,explanation_method,comprehensiveness,sufficiency,prob
0,1335,decompx,0.7431447495510624,0.007918215860986406,0.9996614456176758
1,2648,decompx,0.8911916215386656,0.17767543199437635,0.9985644221305847
2,2607,decompx,0.7349928956634054,0.010762361685434978,0.9976477026939392
3,2278,decompx,0.6526898576228095,0.010818354088625462,0.9998587369918823
4,795,decompx,0.10616690442662373,0.12320521766337279,0.9997581839561462
5,1998,decompx,0.7024464707355946,0.004620610706267818,0.9998730421066284
6,1276,decompx,0.4881280505898335,0.022664650347222925,0.9996863603591919
7,1363,decompx,0.9221686567512474,0.009804851609497822,0.998897910118103
8,3468,decompx,0.7135631853943469,0.010583326978198552,0.9995519518852234
9,405,decompx,0.9151813275680023,0.005869532061606338,0.9915674328804016
10,1723,decompx,0.8530222766633545,0.0030962603432791573,0.9772361516952515
11,218,decompx,0.06476232203153463,0.018118141706173235,0.9993811845779419
12,3676,decompx,0.6627475820927763,0.004306846521270107,0.9998570680618286
13,1059,decompx,0.39237248724917084,0.005881964433483961,0.999841570854187
14,2082,decompx,0.917336850531796,0.029333599220366168,0.9985753297805786
15,3840,decompx,0.3177193272062856,0.012495206971453805,0.9994819760322571
16,1581,decompx,0.5661028522279179,0.0030228354428943837,0.9998582601547241
17,1774,decompx,0.5648448424061804,-0.012262981238327628,0.9745921492576599
18,3400,decompx,0.6316235223879115,0.0073894388747937755,0.9998863935470581
19,699,decompx,0.6747645885340151,0.005789322710512484,0.9998414516448975
20,624,decompx,0.3312152793461626,0.004478686385684543,0.9998311996459961
21,32,decompx,0.43039993501045337,0.04825657589334837,0.9984612464904785
22,636,decompx,0.625138495207801,0.005460349744872043,0.9998853206634521
23,3224,decompx,0.8130192958457759,0.03573829499927498,0.9997647404670715
24,1150,decompx,0.8297319133425989,0.005489490334949796,0.999434769153595
25,2099,decompx,0.2623893695423402,0.04581017566014485,0.9997349381446838
26,1964,decompx,0.8592833686270751,0.014081643089171378,0.9992720484733582
27,1235,decompx,0.8653361942056271,0.007507772325611801,0.9983660578727722
28,2226,decompx,0.7452254469578082,0.006171969267038198,0.9997944235801697
29,3331,decompx,0.1663033132142616,0.022718849328328978,0.9998679161071777
30,3365,decompx,0.8758805685081623,-0.03162116364196495,0.9582148790359497
31,1014,decompx,0.747081351011645,0.005177640637686086,0.9996665716171265
32,1558,decompx,0.4775485306357344,0.00460005799929301,0.9998794794082642
33,1367,decompx,0.7717592888790318,0.00342913876231919,0.999842643737793
34,2004,decompx,0.7605012025378528,0.007368628866970539,0.9996166229248047
35,882,decompx,0.8136281328922024,0.003822667258126395,0.9993757605552673
36,788,decompx,0.651469611203651,0.005919762296614304,0.9998623132705688
37,1516,decompx,0.01673058381206111,0.005643695592880249,0.9995953440666199
38,1822,decompx,0.6189022741121489,0.004258594861844691,0.9998797178268433
39,3327,decompx,0.5033551545833083,0.020135609122614067,0.9998492002487183
40,2489,decompx,0.7863812462677268,0.047586602199336754,0.9948105812072754
41,169,decompx,0.8637390537085825,0.0015193195570082892,0.9993759989738464
42,1641,decompx,0.7971078549827715,0.003437745145389012,0.9998723268508911
43,1343,decompx,0.6527583926035293,0.007875279130705869,0.9998631477355957
44,2718,decompx,0.5322398554017566,0.012247197240231985,0.999795138835907
45,3792,decompx,-0.008146431681435105,-0.8964685380201916,0.021930675953626633
46,2472,decompx,0.8513573193200683,0.015845023846441462,0.9947763681411743
47,3163,decompx,0.8640858036358483,0.028162064689856308,0.9964578747749329
48,3749,decompx,0.5625656012902563,0.016315044097180636,0.9998866319656372
49,3375,decompx,-0.05086173598884854,-0.9357712555707234,0.011571493931114674
50,338,decompx,0.12495228835367804,0.11268762517445192,0.9984374642372131
51,747,decompx,0.8284447774143556,0.01606692946201895,0.9997275471687317
52,953,decompx,0.6460809209551528,0.014719952353470617,0.9998070597648621
53,2429,decompx,0.8064956478606237,0.08682882713984294,0.9936832189559937
54,3587,decompx,0.8534961511183571,0.015172073374623838,0.9995219707489014
55,1351,decompx,0.8294436280258408,0.030650206624645078,0.9987402558326721
56,498,decompx,-0.7298847433535579,-0.2846796172044168,0.014681261964142323
57,3929,decompx,0.7794751134785739,0.03498531218731042,0.9989469647407532
58,1378,decompx,0.2644571293981708,0.00790399069688758,0.9998815059661865
59,1949,decompx,0.2737067746940781,0.020563561355366425,0.9997736811637878
60,1218,decompx,0.38076123302368997,0.006010887382915185,0.9998486042022705
61,1768,decompx,0.812300585316861,0.0053019577806646175,0.999811589717865
62,2499,decompx,0.9165531795242222,-0.00264191197919416,0.9916797280311584
63,1603,decompx,0.9309600651060463,0.04204743653535843,0.9972647428512573
64,1990,decompx,0.7720540806392415,0.012944202952914768,0.9997686743736267
65,896,decompx,0.6846768084915869,-0.15950026135055387,0.7852936387062073
66,691,decompx,0.9058812687653699,0.02459325182896394,0.9989633560180664
67,3391,decompx,0.6755163718256995,0.00692338862661588,0.9998238682746887
68,3371,decompx,0.8192539822138443,0.006402104544493318,0.9997774958610535
69,3780,decompx,0.8188228795140888,0.010320984529999067,0.9994971752166748
70,575,decompx,0.832472960134813,0.005613484730323155,0.9991600513458252
71,168,decompx,0.11772988501774229,0.04091728802608407,0.999874472618103
72,1015,decompx,0.8037418398090214,0.011454900222666124,0.999852180480957
73,1318,decompx,0.41045973406029423,0.004116200819248106,0.9998379945755005
74,3455,decompx,0.5994367810658454,0.013733896259147088,0.9998487234115601
75,1269,decompx,0.870231323586936,-0.01840582464495276,0.9570857882499695
76,3330,decompx,0.7659686154545133,0.0211517124675041,0.9998558759689331
77,3417,decompx,0.5092459402657582,0.015585818644345661,0.9998786449432373
78,2355,decompx,0.09529249706575947,0.06675006689563874,0.9997528195381165
79,3494,decompx,0.8234972739250978,0.0035331521568627193,0.9998544454574585
80,2137,decompx,0.40856515897332496,0.0020252443709463442,0.9998729228973389
81,470,decompx,0.8379614021955663,0.009708247659526346,0.9997648596763611
82,1349,decompx,0.6956240489909594,0.006550022921004853,0.9998307228088379
83,3579,decompx,0.34087674366103277,0.006332893901401096,0.9998766183853149
84,1313,decompx,0.771543450778191,0.02990315372615942,0.9997453093528748
85,176,decompx,0.5921206042640706,0.030349469879298534,0.9997273087501526
86,2019,decompx,0.3645843334736363,0.0027062758322684995,0.9996620416641235
87,3137,decompx,-0.04592393759338312,-0.8109593099451351,0.0013467989629134536
88,3396,decompx,0.651226574227109,0.005281307327915245,0.999842643737793
89,2906,decompx,0.5598372267848916,0.008929001490275064,0.9998756647109985
90,2903,decompx,0.8271633134484389,0.004774925284360716,0.9998769760131836
91,2980,decompx,0.8886351599376501,0.014987133325092376,0.9997988343238831
92,1186,decompx,0.037751055835338124,0.6056746923929771,0.9989625215530396
93,3128,decompx,0.6905216670099976,0.0170674222179606,0.9998642206192017
94,1812,decompx,0.9084009969836803,0.027002462938234405,0.9914965629577637
95,2299,decompx,0.6653760704743182,0.012812094400393083,0.9996310472488403
96,1217,decompx,0.7265535141882855,0.02042576139287431,0.9998071789741516
97,2504,decompx,0.7251888875783022,0.005262282632646107,0.9998475313186646
98,1333,decompx,0.5938636434446203,0.0047213711389681185,0.9998824596405029
99,3288,decompx,0.4393930291663185,0.0026646595207049694,0.999873161315918
100,1328,decompx,0.7913054529290933,0.004304865690378043,0.9997007846832275
101,1533,decompx,0.6564679548027925,0.0040670474991202354,0.9998643398284912
102,3735,decompx,0.7310589400889433,0.0023732036352157593,0.9995427131652832
103,351,decompx,0.6777648408897221,0.005055458708242936,0.9998656511306763
104,468,decompx,0.7731009951827151,0.0633337183131112,0.9977249503135681
105,861,decompx,0.7541144851631686,0.007669386910457237,0.9998212456703186
106,3697,decompx,0.7357232626932471,0.003842253615890724,0.9998552799224854
107,2812,decompx,0.8460079223413007,0.016285662097160262,0.9965721368789673
108,813,decompx,0.8591014825495049,0.01051195434161595,0.9996685981750488
109,1020,decompx,0.8698544749547239,0.005212821326889358,0.9967924952507019
110,2953,decompx,0.32971365792820084,0.34369893838743587,0.9852439165115356
111,2736,decompx,0.801217637430488,0.004796065801491767,0.9997554421424866
112,1632,decompx,0.763547405341359,0.02175876976184125,0.9994978904724121
113,128,decompx,0.6251740206320796,0.005839306447241042,0.9998565912246704
114,905,decompx,0.31392375007271767,0.002847261116152904,0.9998855590820312
115,2880,decompx,0.7558671626270064,0.004698365187841998,0.9998549222946167
116,1617,decompx,0.3668198594275643,0.01743856510695289,0.9998457431793213
117,1475,decompx,0.5358337213067298,0.0037137162178120715,0.9997113347053528
118,2946,decompx,0.5791620255724804,0.005777998147784053,0.999487042427063
119,3459,decompx,0.5874470790418295,0.005583219475798555,0.9998444318771362
120,202,decompx,0.7872329783597679,0.005517703114133893,0.999755322933197
121,1007,decompx,0.6068032180393735,0.0035212687651316327,0.999799907207489
122,1767,decompx,0.7280183372533192,0.012128631705823152,0.9998028874397278
123,933,decompx,0.846281888960788,0.0002604841340518167,0.9922493696212769
124,3184,decompx,0.8450347559377199,0.004612776468384941,0.9997981190681458
125,3198,decompx,0.6995344400969804,0.002504309929838968,0.9998340606689453
126,2150,decompx,0.9067022056783599,0.008190394892837061,0.9997817873954773
127,1105,decompx,0.7878705093627507,0.023921644564756414,0.9998149275779724
128,1467,decompx,0.5701374377434453,0.0033234973748524983,0.9998692274093628
129,3600,decompx,0.5655128429709396,0.005039987429766588,0.9998317956924438
130,423,decompx,0.944901476464149,0.035706911498392134,0.9946861267089844
131,778,decompx,0.1082921086120805,0.01241793043942631,0.9998043179512024
132,2143,decompx,0.771030880031879,0.010428925355275473,0.9997367262840271
133,1120,decompx,0.6316521303009948,0.003097321083343107,0.9998675584793091
134,2092,decompx,0.943862827707156,0.015180669363262584,0.9990754127502441
135,2473,decompx,0.6863550749209941,0.00976772520952164,0.9998375177383423
136,2192,decompx,0.7740185998738385,0.0076552712000333345,0.9997711777687073
137,3062,decompx,0.6944671565126027,0.014558710975031698,0.9998735189437866
138,2120,decompx,-0.04616610958415962,-0.8584121920643969,0.04900120943784714
139,2132,decompx,0.9176955933231421,0.00958245215208634,0.9993822574615479
140,977,decompx,0.6311382573071144,0.0036766674878785936,0.9998612403869629
141,3556,decompx,0.6936691341300806,0.010158567409205243,0.9995193481445312
142,2624,decompx,0.30920159310102463,0.002747246026992798,0.9997801184654236
143,290,decompx,0.8299066254513268,0.007603538486192811,0.9979719519615173
144,2261,decompx,0.7883903509504053,0.0014067278351894644,0.999875545501709
145,2097,decompx,0.6911084529345057,0.024011158517428806,0.9995520710945129
146,2676,decompx,0.7860103431115816,0.008829176425933838,0.9998371601104736
147,191,decompx,0.7333382416122318,0.0034668039191852918,0.9998382329940796
148,410,decompx,0.7653194414188845,0.010462943584688248,0.9997373223304749
149,2678,decompx,0.6202108468495163,0.0046337480638541425,0.9998130202293396
150,2160,decompx,-0.13105401335871042,-0.9270752861987178,0.0010627572191879153
151,2432,decompx,0.833722914623407,-0.010653363394014763,0.9524506330490112
152,2437,decompx,0.7370710988702663,0.01050421511386074,0.9998606443405151
153,3814,decompx,0.7181286634399723,0.003906416077899118,0.9998396635055542
154,3320,decompx,0.757972346050025,0.020303322158697,0.9992005228996277
155,3065,decompx,0.42216900747109165,0.005538080648709369,0.9998811483383179
156,2679,decompx,0.3256551042451697,0.004415379405695166,0.9998799562454224
157,807,decompx,0.7716690405034778,0.00956450374970525,0.9997298121452332
158,1714,decompx,0.9366492878167274,0.012293613673559304,0.9945275187492371
159,3653,decompx,0.8535335666550454,0.02212904592987838,0.9998611211776733
160,2770,decompx,0.6114613983992467,0.006252053179271481,0.9998677968978882
161,1476,decompx,0.6306484315773823,0.0043246443720831385,0.9997164607048035
162,1840,decompx,-0.055073316926388324,-0.2101998031994135,0.0007469444535672665
163,3509,decompx,0.7994254240706468,-0.10512000933671609,0.8742303848266602
164,3414,decompx,0.685855128035043,0.01121228408513579,0.9996206760406494
165,1524,decompx,0.6388811936307894,0.008740378053564774,0.999861478805542
166,1294,decompx,-0.01998151401144073,-0.48960436045847555,0.010834095068275928
167,1656,decompx,0.5352729055916936,0.00855219800297807,0.9998725652694702
168,1262,decompx,0.7208387354143369,0.015299159427021826,0.9997729659080505
169,3228,decompx,0.6867306721917764,0.0038659714318655587,0.999868631362915
170,1114,decompx,0.7455610670688703,0.008993242928420254,0.9998536109924316
171,1089,decompx,0.7119497532400454,0.008018778246853191,0.9995419979095459
172,1575,decompx,0.7651995764598251,0.012520215034484864,0.9998708963394165
173,2357,decompx,0.8644696063842745,0.014662190150189143,0.9973669648170471
174,2800,decompx,0.7085542256574026,0.00885446448075144,0.9998548030853271
175,250,decompx,0.4698918834768646,0.2104396057117173,0.9976837635040283
176,3889,decompx,0.4734754360705146,0.005041520945064684,0.9998549222946167
177,1759,decompx,0.9314879117815463,0.008689394174528516,0.9800276160240173
178,2343,decompx,0.8448062903277817,0.11089863373387245,0.9994034767150879
179,1003,decompx,0.3523999715520852,0.07793422194494717,0.999319314956665
180,2077,decompx,0.8729635708099669,0.03852415824896537,0.9982510209083557
181,286,decompx,0.13006396118060562,0.12176363320313682,0.9936794638633728
182,2763,decompx,0.4784802375787883,-0.4726815050794878,0.5132362246513367
183,1121,decompx,0.7335373311297698,0.03289261366586265,0.9998041987419128
184,507,decompx,0.7211405930115657,0.007082155772617885,0.9998339414596558
185,282,decompx,0.6435524218250066,0.02163779133787522,0.999527096748352
186,1321,decompx,0.5910428305137523,0.004544689541771298,0.9998258948326111
187,3067,decompx,0.1077495887633655,0.014803970401937311,0.9998487234115601
188,1951,decompx,0.5589903846838589,0.008576256999802901,0.9998760223388672
189,1828,decompx,0.1446167668517755,0.0034329635756356375,0.9998507499694824
190,3763,decompx,0.15926659921684336,-0.6695464395078612,0.2748410105705261
191,147,decompx,0.7686621355111242,0.014193536237228748,0.9998515844345093
192,2197,decompx,0.7977900523160792,0.006100753126623424,0.9998549222946167
193,735,decompx,0.8617663192751365,0.0026635497641963,0.9845298528671265
194,2674,decompx,0.9092052172702758,0.007610626744501518,0.9995879530906677
195,183,decompx,0.6449277099275675,0.0056109124651322,0.999806821346283
196,257,decompx,0.7689596342094157,0.004552301319166161,0.9995507597923279
197,3637,decompx,0.8091184684910394,0.006190676524721343,0.999355137348175
198,2263,decompx,0.8770610141765439,0.0012696511817700934,0.9986122846603394
199,1392,decompx,0.35345289820144254,0.006317067530847365,0.9998524188995361
200,2470,decompx,0.6427551443800973,0.019236926888597423,0.9997654557228088
201,1847,decompx,0.8819690316805017,0.013154208660125732,0.9980567097663879
202,38,decompx,0.8471302817866672,0.0070371836423873905,0.9998799562454224
203,1769,decompx,0.6018147017507247,0.006631095804760803,0.9998501539230347
204,399,decompx,0.6776512293281352,0.015950300926115456,0.9998242259025574
205,3682,decompx,0.3475754296823034,0.16857338020379103,0.9998440742492676
206,1152,decompx,0.460370979960198,0.011360209180701594,0.9998440742492676
207,2136,decompx,0.36442206961562834,0.01982169445738735,0.9998759031295776
208,2811,decompx,0.7110514407670432,0.0044515755150344345,0.9998154044151306
209,2361,decompx,0.607375073679526,0.005320541035961098,0.9997439980506897
210,1783,decompx,0.8477685042206318,0.007109980044826385,0.9998242259025574
211,844,decompx,0.7507619354873896,0.009143430481916704,0.9994982481002808
212,1474,decompx,0.725915235777696,0.014801268776257833,0.9992467164993286
213,3954,decompx,0.595296444250195,0.03219477577907283,0.9984523057937622
214,2283,decompx,0.7433952986813649,0.007378262797678549,0.9998611211776733
215,2130,decompx,0.6042127293254529,0.004522286094985642,0.9997416138648987
216,2848,decompx,0.6848091147712982,0.021988690135970948,0.9998722076416016
217,449,decompx,0.7678570630664081,0.013456704299573954,0.9996718168258667
218,393,decompx,0.9376665064022471,0.0243432960009466,0.9982989430427551
219,2518,decompx,0.6620796333831638,0.022645142896851496,0.9998352527618408
220,2081,decompx,0.737685465157753,0.012044127910367904,0.9998471736907959
221,1899,decompx,0.9328594412338783,0.005976119706797046,0.9990000128746033
222,345,decompx,0.012188034596698823,0.011634717315504878,0.9998874664306641
223,572,decompx,0.17344454912578358,0.003065764202791102,0.9998779296875
224,1766,decompx,0.9277610429721157,-0.0032774517867738837,0.9756752252578735
225,608,decompx,0.4856041296878282,0.003550434813779943,0.9998372793197632
226,3010,decompx,0.5872423311292723,0.0017233571490725956,0.9998001456260681
227,884,decompx,0.19442112746999907,-0.7444064570880085,0.2333022654056549
228,3500,decompx,0.402211990468204,0.008166596293449402,0.9998781681060791
229,2249,decompx,0.6505165192431637,0.008227065631321499,0.999840497970581
230,1156,decompx,0.6343631639911913,0.014116755553654261,0.9997583031654358
231,893,decompx,-0.07576872064558746,-0.2464634674536281,0.002716721035540104
232,273,decompx,0.633052476406715,0.006416781269824566,0.9998811483383179
233,2570,decompx,0.2820793297521922,0.0026621672571921834,0.9998608827590942
234,14,decompx,0.9377025876335349,0.09239955950867046,0.9979935884475708
235,1342,decompx,0.8389551221461914,0.00964515855614568,0.9968750476837158
236,3282,decompx,0.5632970940364017,0.003488237594629263,0.9998701810836792
237,21,decompx,0.39121680935536784,0.004527463218358558,0.9998654127120972
238,3329,decompx,0.8270192209498158,0.020487708704812185,0.9992491602897644
239,225,decompx,0.0902669781314734,0.02289866824835045,0.9997249245643616
240,2272,decompx,0.78973612629157,0.020346623071482484,0.9946805834770203
241,791,decompx,0.8608130679882302,0.003949007937605952,0.9998300075531006
242,2491,decompx,0.9044156671379502,0.010951075993531139,0.9977765679359436
243,1933,decompx,0.6506358878687024,0.003506532516972772,0.9996029734611511
244,1358,decompx,0.7907095816677686,-0.012278350358156814,0.972271740436554
245,2725,decompx,0.019728205984619062,0.02680494443414175,0.9998394250869751
246,2215,decompx,0.6355774638589559,0.0014598764652429626,0.9998742341995239
247,3818,decompx,0.8342452883867449,0.010719308727665952,0.999855637550354
248,604,decompx,0.34702087506810403,0.0026842026000327254,0.9998559951782227
249,2745,decompx,0.8803147339810666,0.028365861941007226,0.9962852001190186
250,1482,decompx,0.8522836390828479,0.006492956170757997,0.9997947812080383
251,2315,decompx,0.8326555025699895,0.011705903445973116,0.9990001320838928
252,1549,decompx,0.06345175713300705,0.3724382655601948,0.998688280582428
253,353,decompx,0.8536872594908764,0.015247134424799637,0.9926807284355164
254,2618,decompx,0.6355046062690622,0.004889709201264888,0.9998818635940552
255,3588,decompx,0.46953806357505995,0.0039237065192980645,0.9998557567596436
256,1807,decompx,0.8958600607668479,-0.008742507351072211,0.9780071377754211
257,2878,decompx,0.5213540797617208,0.0076545075321873875,0.9998770952224731
258,2841,decompx,0.15957752611988035,0.11872364161334513,0.9997841715812683
