,id,explanation_method,comprehensiveness,sufficiency,prob
0,0,decompx,0.5059276431399796,-0.3450021914073399,0.6345958113670349
1,1,decompx,0.028566512796613906,0.021211120817396376,0.9997130036354065
2,2,decompx,0.020332008600234985,0.012087474266688028,0.9945753812789917
3,3,decompx,0.23423727850119272,-0.06222893794377645,0.7911571860313416
4,4,decompx,0.051323367489708796,0.02120416031943427,0.9996964931488037
5,5,decompx,0.025973021984100342,0.0164803147315979,0.9997052550315857
6,6,decompx,0.026291579008102417,0.026263535022735596,0.9996793270111084
7,7,decompx,0.022524797916412355,0.016500473022460938,0.9997350573539734
8,8,decompx,0.09931864589452744,0.020207494497299194,0.9996310472488403
9,9,decompx,0.5918838599962848,-0.01673405511038644,0.9446391463279724
10,10,decompx,-0.3204176057285319,-0.9806730842683464,0.0015497708227485418
11,11,decompx,0.7471391134230154,0.45109238448951927,0.997227132320404
12,12,decompx,0.4709032643586397,0.015197360515594482,0.9931683540344238
13,13,decompx,0.1216890017191569,0.020985980828603108,0.9966328740119934
14,14,decompx,0.053846657276153564,0.017256975173950195,0.9992781281471252
15,15,decompx,0.3492351368069649,0.02060123682022095,0.9995926022529602
16,16,decompx,-0.14852931763743982,-0.8913664720021188,0.002597848419100046
17,17,decompx,0.19531248807907103,0.01990862488746643,0.9977205395698547
18,18,decompx,0.030968172209603444,0.023019824709211077,0.9997091889381409
19,19,decompx,0.09338074922561646,0.02166079878807068,0.9996812343597412
20,20,decompx,0.2768796318107181,0.01654913028081258,0.9950013756752014
21,21,decompx,0.19680692503849664,0.0172363022963206,0.9997290968894958
22,22,decompx,0.48716159413258237,0.021059274673461914,0.9948364496231079
23,23,decompx,0.030268643583570207,0.014994229589189802,0.9960553646087646
24,24,decompx,0.13359367102384567,0.023767545819282532,0.9996199607849121
25,25,decompx,0.6142834073139561,0.027961797184414335,0.9993583559989929
26,26,decompx,0.021844526131947834,0.010700990756352743,0.993168830871582
27,27,decompx,0.5348997761805853,0.021600077549616497,0.999538779258728
28,28,decompx,0.08712447351879543,0.02407159407933553,0.9995560050010681
29,29,decompx,0.040950667858123777,0.02533455491065979,0.9996238946914673
30,30,decompx,0.10390207767486573,0.04736063480377197,0.9996684789657593
31,31,decompx,0.2976433336734772,0.014353791872660318,0.9922665953636169
32,32,decompx,0.20068038503328958,0.031407018502553306,0.9913568496704102
33,33,decompx,-0.1257630272635392,-0.3557759438242231,0.32702988386154175
34,34,decompx,0.12896383802096048,0.017245670159657795,0.9997193217277527
35,35,decompx,0.024964123964309692,0.017209529876708984,0.9996148347854614
36,36,decompx,0.2108884235844016,0.021659976243972777,0.9996886253356934
37,37,decompx,0.3042640316167048,0.01759685788835798,0.9688705205917358
38,38,decompx,0.03683949510256449,0.01160008708635966,0.9940542578697205
39,39,decompx,0.3231833577156067,0.02169624964396159,0.9996094107627869
40,40,decompx,0.021339726448059083,0.011055552959442138,0.9942618608474731
41,41,decompx,0.7904654531739652,0.023431062698364258,0.999203622341156
42,42,decompx,0.021323132514953613,0.01647655963897705,0.9997348189353943
43,43,decompx,0.284002723172307,0.01835227608680725,0.9963762164115906
44,44,decompx,0.05146367351214091,0.0171853502591451,0.9996380805969238
45,45,decompx,0.09213966793484157,0.07744201024373372,0.9955388903617859
46,46,decompx,0.8092531284783036,-0.06040259202321371,0.9077126979827881
47,47,decompx,0.18285726649420603,-0.21112617424556188,0.6872230768203735
48,48,decompx,0.019616782665252686,0.019616782665252686,0.953929603099823
49,49,decompx,0.2720591309997771,0.021109667089250352,0.9995619654655457
50,50,decompx,0.4020875500781195,-0.05228905166898455,0.9285913109779358
51,51,decompx,0.3325763824913237,0.0239914788140191,0.999630331993103
52,52,decompx,0.4304024406841823,0.030729055404663086,0.9993728995323181
53,53,decompx,0.2381361722946167,0.008716940879821777,0.9918131828308105
54,54,decompx,0.3120244238525629,0.0137476846575737,0.9932019114494324
55,55,decompx,0.8201227718188117,8.400281270345052e-05,0.9824495315551758
56,56,decompx,0.32676472266515094,0.017378310362497967,0.9958672523498535
57,57,decompx,0.018606364727020264,0.016446304321289063,0.9997079968452454
58,58,decompx,0.019136875867843628,0.01641136407852173,0.9996516704559326
59,59,decompx,0.09013273980882433,0.017122136221991643,0.9955931305885315
60,60,decompx,0.15946312745412192,0.01718588670094808,0.99945467710495
61,61,decompx,0.3466589163456644,0.020025227751050676,0.9997316002845764
62,62,decompx,0.017536213000615437,0.01731311281522115,0.9997296929359436
63,63,decompx,0.08592864274978637,0.021677178144454957,0.9997218251228333
64,64,decompx,0.5097953260410577,0.02205725759267807,0.9938212633132935
65,65,decompx,0.016635676225026447,-0.004250546296437581,0.9779965281486511
66,66,decompx,0.06433656811714172,0.03260175883769989,0.9996438026428223
67,67,decompx,0.13337235450744628,-0.08871665000915527,0.8910589218139648
68,68,decompx,-0.5332055687904358,-0.20830100774765015,0.4191775321960449
69,69,decompx,0.06381858587265014,0.015097367763519286,0.9923340082168579
70,70,decompx,0.48186853586230427,0.14321833290159702,0.9976052045822144
71,71,decompx,0.023043223789760044,0.02312271935599191,0.9996961355209351
72,72,decompx,0.11547679901123047,0.00045057535171508787,0.9836777448654175
73,73,decompx,0.47192262709140775,0.01630178689956665,0.9995026588439941
74,74,decompx,0.03816850185394287,0.01660388708114624,0.9996731281280518
75,75,decompx,0.3350910312599606,0.02123913500044081,0.9996781349182129
76,76,decompx,0.12813458698136465,0.01873006990977696,0.9996517896652222
77,77,decompx,-0.4377195187844336,-0.7918749824166298,0.040424756705760956
78,78,decompx,0.024661474757724337,0.021054963270823162,0.9994415640830994
79,79,decompx,0.03145706653594971,0.02596229314804077,0.9993780851364136
80,80,decompx,0.6688244423518578,0.02172444264094035,0.9996289014816284
81,81,decompx,0.041554659605026245,0.0248868465423584,0.9997007846832275
82,82,decompx,0.7850586082320661,0.018456000089645385,0.9964839220046997
83,83,decompx,0.039379894733428955,0.01646261215209961,0.9997178912162781
84,84,decompx,0.0706099346280098,0.021099060773849487,0.9969345331192017
85,85,decompx,-0.02296405207986633,-0.6475689129696952,0.07920266687870026
86,86,decompx,-0.07726618929300458,-0.5063299371860921,0.01069523673504591
87,87,decompx,0.12662108739217123,0.010159750779469809,0.9837073683738708
88,88,decompx,0.04889380931854248,0.02687261501948039,0.999680757522583
89,89,decompx,0.16423134803771972,0.004960024356842041,0.9879968762397766
90,90,decompx,0.17131252586841583,0.015456333756446838,0.9975841045379639
91,91,decompx,0.1685940146446228,0.0047419190406799315,0.9879670739173889
92,92,decompx,0.038726985454559326,0.005222991108894348,0.9885756373405457
93,93,decompx,0.051417064666748044,0.016512107849121094,0.9996984004974365
94,94,decompx,0.0525379478931427,0.020625486969947815,0.9997219443321228
95,95,decompx,0.5782065151466264,0.1178523235850864,0.9889361262321472
96,96,decompx,0.04118242859840393,0.022964730858802795,0.9992454051971436
97,97,decompx,0.026227980852127075,0.026181817054748535,0.9996121525764465
98,98,decompx,0.05362601578235626,0.02050495147705078,0.9996434450149536
99,99,decompx,0.6022767886105511,0.02104749944474962,0.9994944334030151
100,100,decompx,0.20122095280223423,0.2510756241778533,0.9326414465904236
101,101,decompx,0.7083896085619926,0.026483535766601562,0.9988821148872375
102,102,decompx,0.4954041562974453,-0.01215822696685791,0.9494132399559021
103,103,decompx,0.024830400943756104,0.017430782318115234,0.9996874332427979
104,104,decompx,0.3222133032977581,0.01981998234987259,0.9982784986495972
105,105,decompx,0.18524368745940073,0.015854724815913608,0.9640337228775024
106,106,decompx,0.017449676990509033,0.01649167537689209,0.9997252821922302
107,107,decompx,0.006523072719573975,-0.021373793482780457,0.9616595506668091
108,108,decompx,-0.2456339909695089,-0.8435142105445266,0.01539801899343729
109,109,decompx,0.4129728702828288,0.013236559927463531,0.9891979098320007
110,110,decompx,0.17702186438772413,0.014511691199408637,0.9929722547531128
111,111,decompx,0.04010918736457825,0.017216076453526814,0.9996256828308105
