explanation_method,explanation_method,approx_normalized_comprehensiveness,approx_normalized_sufficiency
AttInGrad,AttInGrad,0.9879412022739201,0.9893277061660188
Attention,Attention,0.989988589140456,0.9911655203792124
DecompX,DecompX,0.9870520492480752,0.9460087491647349
DeepLIFT,DeepLIFT,0.9916576077058236,0.9901511045151641
GxI,GxI,0.9898305173177973,0.984515434612683
IG,IG,0.9827544260335616,0.9740649810286006
LIME,LIME,0.9822324631327406,0.96167975203747
Occlusion@1,Occlusion@1,0.9886579341223348,0.9822351425089932
Random,Random,0.9912350391280915,0.9898020631240868
SHAP,SHAP,0.9893933571100179,0.9817884227602686
