explanation_method,explanation_method,approx_normalized_comprehensiveness,approx_normalized_sufficiency
AttInGrad,AttInGrad,0.993102098766246,0.9907034658639573
Attention,Attention,0.9923087286944453,0.9923852759147658
DecompX,DecompX,0.9748922953549012,0.9662660693992465
DeepLIFT,DeepLIFT,0.9927048716802287,0.9917384202400544
GxI,GxI,0.9927461088427447,0.9910275104452113
IG,IG,0.9917691566872796,0.9814045073320181
LIME,LIME,0.9806477911625117,0.9771478849558374
Occlusion@1,Occlusion@1,0.9924285539177948,0.9850886433719441
Random,Random,0.9949774705456246,0.9921833567487065
SHAP,SHAP,0.9908365103036038,0.9760541894284036
